gene_symbol,logFC,AveExpr,t,P.Value,adj.P.Val,B,regulate
LOC650921,0.025680796,7.303248671,1.715286263,0.087232927,0.143690403,-5.008700131,unchanged
STK35,0.025674631,7.321546591,1.599480476,0.110672324,0.174120518,-5.194824873,unchanged
NCRNA00115,0.025666995,7.27727557,1.831472913,0.067932755,0.117316336,-4.80913907,unchanged
MADCAM1,0.025658992,7.285155004,1.91116948,0.056850297,0.101936115,-4.664850931,unchanged
SLC16A11,0.025656016,7.240322816,1.543423742,0.123687889,0.190436564,-5.280322719,unchanged
UBD,0.025652325,7.277342204,1.731299129,0.084334524,0.139839661,-4.981958688,unchanged
FLJ90036,0.025650122,7.325164302,1.707161774,0.088734087,0.145664621,-5.022174712,unchanged
LOC642282,0.025645834,7.282430145,1.822011214,0.06935975,0.119197729,-4.825869672,unchanged
DUSP28,0.025639038,10.38181838,0.333616038,0.738881532,0.797994086,-6.386517768,unchanged
LOC100134667,-0.025628256,7.529670548,-1.604671216,0.109524237,0.172722711,-5.186756067,unchanged
LOC100132474,-0.025627856,7.562801675,-1.131571925,0.258637367,0.346388247,-5.816018771,unchanged
LOC643167,-0.025625312,9.880913526,-0.152490702,0.878893262,0.910375197,-6.429564612,unchanged
TTLL3,-0.02562459,7.745391564,-1.093695074,0.27488769,0.363865531,-5.857077686,unchanged
LOC647843,0.025624115,7.28208986,1.739805109,0.082827033,0.137819937,-4.967654539,unchanged
LOC100128825,0.025623522,7.267329567,1.796522486,0.073327337,0.124673135,-4.870517552,unchanged
WSCD1,-0.025608809,7.508215158,-1.564723346,0.118607715,0.184112813,-5.248190326,unchanged
PRAMEF2,0.025607958,7.268568954,1.793865271,0.073751487,0.125251985,-4.87513664,unchanged
TSTD2,-0.025601478,7.582744388,-1.499603556,0.134674687,0.203962285,-5.345064392,unchanged
ITGA11,0.025593262,7.545424948,1.335688391,0.182573064,0.261352086,-5.570915521,unchanged
C19orf28,0.025592642,8.055764665,0.51782826,0.604925613,0.685045954,-6.30986289,unchanged
ARL14,0.025590877,7.20725354,1.611542354,0.108019049,0.170751705,-5.176035579,unchanged
SLFN12L,0.02559028,7.269662296,1.607959738,0.108801789,0.171790285,-5.181630873,unchanged
LOC100129882,0.025586238,7.404232746,1.095884994,0.273929487,0.362820643,-5.854741571,unchanged
PTPN5,-0.025578229,7.61183266,-1.468471738,0.142930173,0.213888222,-5.389942519,unchanged
OR2J2,0.025577523,7.30588191,1.647033093,0.10050462,0.161192074,-5.119944799,unchanged
LOC652799,0.025573606,7.287217121,1.637311128,0.10252017,0.163781078,-5.13542923,unchanged
SPON2,0.025570879,7.294374805,1.232511455,0.218636842,0.302358638,-5.699831574,unchanged
KBTBD10,0.025566022,7.283286582,1.659509033,0.097964739,0.157827336,-5.099941996,unchanged
ARID5A,0.025564747,7.397931538,1.145672466,0.252762146,0.34023883,-5.800379427,unchanged
C4orf39,0.02556401,7.369309813,1.531593673,0.126582299,0.194054694,-5.297982026,unchanged
CBY3,0.025562742,7.403761126,1.251452694,0.211657154,0.294847047,-5.676933669,unchanged
POU5F1,-0.025559558,7.382726504,-1.981055628,0.048416161,0.089488602,-4.533382759,unchanged
F9,0.025551562,7.347763715,1.812283575,0.070852545,0.121305455,-4.842982021,unchanged
LOC100130320,0.025547393,7.282779744,1.73996121,0.082799574,0.137788838,-4.967391387,unchanged
LOC648050,0.025538136,7.400825958,1.695344902,0.090954746,0.148584483,-5.041661011,unchanged
LOC142937,0.025525562,7.303769076,1.67887632,0.094124218,0.152751965,-5.068596308,unchanged
LOC728005,0.025525191,7.297636082,1.664202002,0.09702277,0.156550526,-5.092379305,unchanged
LOC728811,0.025518794,7.2701476,1.736415645,0.083425088,0.138624239,-4.973362703,unchanged
SPAG16,0.025516714,7.376989486,1.224227148,0.221741199,0.305938215,-5.70973767,unchanged
WDR55,0.02551636,8.086284548,0.444974562,0.65663032,0.72941646,-6.344139316,unchanged
FAM13C1,0.025512937,7.316575421,1.622109533,0.105736361,0.167793204,-5.1594605,unchanged
AFAP1,-0.025512096,8.686309685,-0.238307032,0.811791108,0.858070737,-6.413166673,unchanged
MTERFD3,0.025503709,7.283959852,1.545918461,0.123084194,0.189781049,-5.27658164,unchanged
LOC647521,0.025503557,7.426123775,1.677558064,0.094381723,0.153075007,-5.070741224,unchanged
LOC100132956,0.02550354,7.336302293,1.744955028,0.081925038,0.136593886,-4.958960702,unchanged
LOC729003,0.025497171,7.335371558,1.425354776,0.155001306,0.228374404,-5.45056333,unchanged
LOC650217,0.025492165,7.34643066,1.639387014,0.102087108,0.163213692,-5.132130481,unchanged
LOC100131381,0.025487584,7.513375331,1.362912666,0.173840762,0.251105099,-5.535191273,unchanged
LOC643605,0.025486087,7.293329714,1.635177718,0.10296676,0.164318329,-5.138815107,unchanged
S100A16,-0.025485789,7.516552878,-1.818006654,0.069971114,0.120071105,-4.83292515,unchanged
MIR1245,0.025479977,7.361866452,1.632002491,0.103634313,0.165183118,-5.143846382,unchanged
DOCK9,0.025479459,7.281205054,1.430207185,0.153605177,0.226695194,-5.443830083,unchanged
CPNE9,0.025478089,7.295797265,1.628042967,0.10447159,0.166281522,-5.150106932,unchanged
SNORD6,-0.025477246,7.530342829,-1.492871744,0.136427695,0.206104748,-5.354847332,unchanged
FLJ33387,0.025470535,7.298759733,1.349343793,0.178153042,0.256121484,-5.553085708,unchanged
TSPAN15,0.025470025,7.510705686,0.993312923,0.321286406,0.412782302,-5.959178654,unchanged
LOC645931,0.025469171,7.468879254,1.579954144,0.115076875,0.179551234,-5.224947323,unchanged
C2orf71,-0.025463903,7.539109509,-1.638551594,0.102261213,0.163425535,-5.133458525,unchanged
LOC400743,0.025461601,7.523638999,1.136433014,0.256601269,0.344375933,-5.810648888,unchanged
LOC155100,-0.025460994,7.651662039,-1.447969334,0.148576515,0.220854892,-5.418990467,unchanged
SPNS1,0.025460585,8.667884195,0.301791654,0.763001291,0.818055458,-6.396403234,unchanged
LOC653115,0.025460297,7.296468046,1.60549411,0.109343101,0.172488988,-5.185474547,unchanged
LOC653883,0.02545962,7.269354241,1.591712089,0.112408347,0.176245116,-5.206852463,unchanged
LOC646561,-0.025456205,7.448417679,-1.602105121,0.110090618,0.173398378,-5.190748179,unchanged
FAM9C,0.025454178,7.341106829,1.828285759,0.068410702,0.117940815,-4.814784219,unchanged
LOC100133629,0.025453715,7.326750611,1.707063028,0.08875246,0.145674182,-5.022338096,unchanged
FMOD,-0.025452773,7.544204833,-1.563814626,0.118821045,0.184395288,-5.249570071,unchanged
MIRLET7G,0.025452334,7.397006923,1.699530063,0.090163179,0.147586956,-5.034774786,unchanged
CD276,-0.025451621,7.536823772,-1.603178619,0.109853396,0.173094143,-5.189078886,unchanged
UNG2,-0.025451586,7.503049888,-1.800502284,0.072695825,0.123835234,-4.86358686,unchanged
SETDB2,0.025448924,11.00276971,0.36473469,0.715543452,0.778682695,-6.375894682,unchanged
PPP2R3B,0.025448406,7.299799637,1.246086875,0.213617783,0.297023296,-5.683455474,unchanged
LOC100128548,0.025446525,7.361061028,1.492175521,0.13661,0.206286877,-5.355856634,unchanged
SMARCB1,-0.025445611,8.560965703,-0.253633453,0.799936944,0.847936399,-6.409480355,unchanged
LOC100129555,-0.025445145,7.497127572,-1.724683866,0.085522284,0.141436028,-4.993035729,unchanged
LOC440434,0.025440155,7.26121153,1.723699354,0.085700208,0.141700449,-4.994680705,unchanged
LOC643905,0.025437757,7.508970442,1.204233891,0.229363567,0.314316,-5.733372278,unchanged
TMEM97,0.025434652,11.75079108,0.374464896,0.708299359,0.772504736,-6.372378911,unchanged
CD200,-0.025427619,7.833308783,-1.044790838,0.29688557,0.386825602,-5.908037927,unchanged
